,capacity
0,1.0712117
1,1.0742669
2,1.0750949
3,1.0772953
4,1.0773442
5,1.0781063
6,1.0785127
7,1.0764836
8,1.0784971
9,1.0787864
10,1.0783879
11,1.0790582
12,1.0782287
13,1.0791196
14,1.0796044
15,1.0795345
16,1.0790807
17,1.0787507
18,1.0797478
19,1.0798937
20,1.0801784
21,1.0797545
22,1.0784208
23,1.0801345
24,1.0797617
25,1.0801948
26,1.0805616
27,1.0787054
28,1.0804583
29,1.0805269
30,1.0796396
31,1.0803035
32,1.0792722
33,1.0797074
34,1.0802085
35,1.0803246
36,1.0800271
37,1.0794652
38,1.080815
39,1.0803962
40,1.0807321
41,1.0804555
42,1.0793589
43,1.0809267
44,1.0803283
45,1.0805987
46,1.0808666
47,1.0787741
48,1.0804667
49,1.0806761
50,1.0799989
51,1.0806448
52,1.0796477
53,1.0798484
54,1.0806391
55,1.0807341
56,1.0799639
57,1.0793015
58,1.080405
59,1.0801238
60,1.0807295
61,1.0808214
62,1.0790546
63,1.0805882
64,1.0799572
65,1.0799822
66,1.0800323
67,1.0777282
68,1.0803103
69,1.08067
70,1.0798426
71,1.0804851
72,1.0794042
73,1.0799073
74,1.080626
75,1.0806205
76,1.0799425
77,1.0791488
78,1.0803994
79,1.0798196
80,1.0804039
81,1.0805563
82,1.0786946
83,1.0802999
84,1.0804302
85,1.0801861
86,1.0804107
87,1.0791061
88,1.0803176
89,1.0805968
90,1.0801764
91,1.0802546
92,1.078925
93,1.0795246
94,1.0801243
95,1.0803514
96,1.0794592
97,1.0788361
98,1.0803331
99,1.0795146
100,1.078916
101,1.077397
102,1.0783701
103,1.0800095
104,1.0799818
105,1.0793728
106,1.0797515
107,1.0785362
108,1.0795645
109,1.0797333
110,1.0796968
111,1.0797453
112,1.0777315
113,1.0794514
114,1.0798692
115,1.0796273
116,1.0789919
117,1.0782306
118,1.07965
119,1.0775476
120,1.0793378
121,1.0794894
122,1.077579
123,1.0794352
124,1.0795832
125,1.0789021
126,1.0791117
127,1.0778865
128,1.0788975
129,1.0790769
130,1.079109
131,1.0788193
132,1.0778219
133,1.0787053
134,1.0788009
135,1.0791389
136,1.0782706
137,1.0774089
138,1.0785903
139,1.0781009
140,1.0785061
141,1.0787773
142,1.0765277
143,1.0783145
144,1.0786163
145,1.077665
146,1.0782526
147,1.0769451
148,1.0776305
149,1.0780647
150,1.0780241
151,1.0776021
152,1.0764291
153,1.0776958
154,1.0775768
155,1.0776544
156,1.0770732
157,1.0763569
158,1.0777248
159,1.0773344
160,1.0775583
161,1.0778908
162,1.0762571
163,1.0773207
164,1.0774201
165,1.0765619
166,1.0771565
167,1.0769687
168,1.0763751
169,1.0769709
170,1.0769396
171,1.0764771
172,1.0767182
173,1.0767084
174,1.0765537
175,1.076636
176,1.0762542
177,1.0762218
178,1.0764586
179,1.0759771
180,1.0760926
181,1.0760936
182,1.0756763
183,1.0760909
184,1.0760468
185,1.0754986
186,1.0757167
187,1.0756346
188,1.0752296
189,1.074646
190,1.0759094
191,1.0755047
192,1.0756081
193,1.075501
194,1.0752126
195,1.0754864
196,1.0750068
197,1.0750524
198,1.0752636
199,1.0735027
200,1.0747411
201,1.073458
202,1.0696976
203,1.069959
204,1.073373
205,1.0740222
206,1.0747331
207,1.0746474
208,1.0738522
209,1.0731132
210,1.0730165
211,1.0736381
212,1.0736938
213,1.0741425
214,1.0736723
215,1.0725577
216,1.0733196
217,1.0728533
218,1.0733753
219,1.0728515
220,1.0729074
221,1.0733452
222,1.0725793
223,1.0729531
224,1.07287
225,1.0721072
226,1.0727149
